service_id,date,exception_type
71799,20260525,2
71799,20260704,2
71799,20260907,2
71799,20261111,2
71799,20261126,2
71799,20261127,2
71799,20261224,2
71799,20261225,2
71799,20261231,2
71799,20270101,2
71799,20270118,2
71799,20270215,2
71799,20270531,2
71799,20270704,2
71799,20270906,2
71799,20271111,2
71799,20271125,2
71799,20271126,2
71799,20271224,2
71799,20280102,2
71799,20280117,2
71799,20280221,2

